number,word,phoneme,syllabify,phoneme_syllabify,method
12118,kesembuhan,kəsəmbuhan,ke.sem.buh.an,kə.səm.buh.an,manual
12119,kesemek,kəsəməʔ,ke.se.mek,kə.sə.məʔ,manual
12120,kesementaraan,kəsəməntaraʔan,ke.se.men.ta.ra.an,kə.sə.mən.ta.ra.ʔan,manual
12121,kesemestaan,kəsəməstaʔan,ke.se.mes.ta.an,kə.sə.məs.ta.ʔan,manual
12122,kesempatan,kəsəmpatan,ke.sem.pa.tan,kə.səm.pa.tan,LLM
12123,kesempitan,kəsəmpitan,ke.sem.pit.an,kə.səm.pit.an,manual
12124,kesempurnaan,kəsəmpurnaʔan,ke.sem.pur.na.an,kə.səm.pur.na.ʔan,manual
12125,kesemua,kəsəmua,ke.se.mu.a,kə.sə.mu.a,LLM
12126,kesemuanya,kəsəmuaɲa,ke.se.mu.an.ya,kə.sə.mu.aɲ.a,LLM
12127,kesemutan,kəsəmutan,ke.se.mut.an,kə.sə.mut.an,manual
12128,kesenakan,kəsənakan,ke.se.nak.an,kə.sə.nak.an,manual
12129,kesenangan,kəsənaŋan,ke.se.nang.an,kə.sə.naŋ.an,manual
12130,kesendalan,kəsəndalan,ke.sen.dal.an,kə.sən.dal.an,manual
12131,kesendirian,kəsəndirian,ke.sen.di.ri.an,kə.sən.di.ri.an,manual
12132,kesenduan,kəsənduan,ke.sen.du.an,kə.sən.du.an,manual
12133,kesengajaan,kəsəŋadʒaʔan,ke.se.nga.ja.an,kə.sə.ŋa.dʒ.aʔan,manual
12134,kesenggangan,kəsəŋgaŋan,ke.seng.gang.an,kə.səŋ.gaŋ.an,manual
12135,kesenggol,kəseŋgol,ke.seng.gol,kə.seŋ.gol,manual
12136,kesengitan,kəsəŋitan,ke.se.ngit.an,kə.sə.ŋit.an,manual
12137,kesengsaman,kəsəŋsaman,ke.seng.sam.an,kə.səŋ.sam.an,manual
12138,kesengsaraan,kəsəŋsaraʔan,ke.seng.sa.ra.an,kə.səŋ.sa.ra.ʔan,manual
12139,kesengsem,kəsəŋsəm,ke.seng.sem,kə.səŋ.səm,manual
12140,kesenian,kəsənian,ke.se.ni.an,kə.sə.ni.an,LLM
12141,kesenimanan,kəsənimanan,ke.se.ni.man.an,kə.sə.ni.man.an,manual
12142,kesenioran,kəsenioran,ke.se.ni.or.an,kə.se.ni.or.an,manual
12143,kesenjaan,kəsəndʒaʔan,ke.sen.ja.an,kə.sən.dʒ.aʔan,manual
12144,kesenjangan,kəsəndʒaŋan,ke.sen.jang.an,kə.sən.dʒaŋan,manual
12145,kesenjataan,kəsəndʒataʔan,ke.sen.ja.ta.an,kə.sən.dʒ.at.aʔan,manual
12146,kesentengan,kəsenteŋan,ke.sen.teng.an,kə.sen.teŋ.an,manual
12147,kesentosaan,kəsəntosaʔan,ke.sen.to.sa.an,kə.sən.to.sa.ʔan,manual
12148,kesentuhan,kəsəntuhan,ke.sen.tuh.an,kə.sən.tuh.an,manual
12149,kesenyapan,kəsəɲapan,ke.se.nyap.an,kə.sə.ɲapa.n,manual
12150,keseorangan,kəsəoraŋan,ke.se.o.rang.an,kə.sə.o.raŋ.an,manual
12151,kesepakatan,kəsəpakatan,ke.se.pa.kat.an,kə.sə.pa.kat.an,manual
12152,kesepian,kəsəpian,ke.se.pi.an,kə.sə.pi.an,manual
12153,kesepuhan,kəsəpuhan,ke.se.puh.an,kə.sə.puh.an,manual
12154,keseragaman,kəsəragaman,ke.se.ra.gam.an,kə.sə.ra.gam.an,manual
12155,keserakahan,kəsərakahan,ke.se.ra.kah.an,kə.sə.ra.kah.an,manual
12156,keseraman,kəsəraman,ke.se.ram.an,kə.sə.ram.an,manual
12157,keserampangan,kəsərampaŋan,ke.se.ram.pang.an,kə.sə.ram.paŋ.an,manual
12158,keserangan,kəseraŋan,ke.se.ran.gan,kə.se.raŋan,LLM
12159,keserasian,kəsərasian,ke.se.ra.si.an,kə.sə.ra.si.an,manual
12160,keserbagunaan,kəsərbagunaʔan,ke.ser.ba.gu.na.an,kə.sər.ba.gu.na.ʔan,manual
12161,keserempakan,kəsərəmpakan,ke.se.rem.pak.an,kə.sə.rəm.pak.an,manual
12162,keserempet,kəsərempet,ke.se.rem.pet,kə.sə.rem.pet,manual
12163,keseriusan,kəseriusan,ke.se.ri.us.an,kə.se.ri.us.an,manual
12164,keserongan,kəseroŋan,ke.se.rong.an,kə.se.roŋ.an,manual
12165,keseronokan,kəsəronokan,ke.se.ro.nok.an,kə.sə.ro.nok.an,manual
12166,kesertaan,kəsərtaʔan,ke.ser.ta.an,kə.sər.ta.ʔan,manual
12167,keserta-mertaan,kəsərtamərtaʔan,ke.ser.ta.mer.ta.an,kə.sər.ta.mər.ta.ʔan,LLM
12168,keseruduk,kəsəruduʔ,ke.se.ru.duk,kə.sə.ru.duʔ,manual
12169,kesesakan,kəsəsakan,ke.se.sak.an,kə.sə.sak.an,manual
12170,kesesatan,kəsəsatan,ke.se.sat.an,kə.sə.sat.an,manual
12171,keseser,kəsəsər,ke.se.ser,kə.sə.sər,manual
12172,kesesuaian,kəsəsuaian,ke.se.su.ai.an,kə.sə.su.ai.an,manual
12173,kesetanan,kəsetanan,ke.se.tan.an,kə.se.tan.an,manual
12174,kesetaraan,kəsətaraʔan,ke.se.ta.ra.an,kə.sə.ta.ra.ʔan,LLM
12175,kesetiaan,kəsətiaʔan,ke.se.ti.a.an,kə.sə.ti.a.ʔan,manual
12176,kesetiaannya,kəsətiaʔanɲa,ke.se.ti.a.an.nya,kə.sə.ti.a.ʔa.nɲa,LLM
12177,kesetia-kawanan,kəsətiakawanan,ke.se.ti.a.ka.wa.nan,kə.sə.ti.a.ka.wa.nan,LLM
12178,keset,keset,ke.set,ke.set,manual
12179,keset,kəset,ke.set,kə.set,manual
12180,kesetrum,kəsətrum,ke.set.rum,kə.sət.rum,manual
12181,kesialan,kəsialan,ke.si.al.an,kə.si.al.an,manual
12182,kesiapan,kəsiapan,ke.si.a.pan,kə.si.a.pan,LLM
12183,kesiap,kəsiap,ke.si.ap,kə.si.ap,manual
12184,kesibukan,kəsibukan,ke.si.buk.an,kə.si.buk.an,manual
12185,kesih,kəsih,ke.sih,kə.sih,LLM
12186,kesi,kəsi,ke.si,kə.si,manual
12187,kesik,kəsiʔ,ke.sik,kə.siʔ,manual
12188,kesilapan,kəsilapan,ke.si.la.pan,kə.si.la.pan,LLM
12189,kesima,kəsima,ke.si.ma,kə.si.ma,manual
12190,kesimbukan,kəsimbukan,ke.sim.bu.kan,kə.sim.bu.kan,manual
12191,kesimpulan,kəsimpulan,ke.sim.pul.an,kə.sim.pul.an,manual
12192,kesinambungan,kəsinambuŋan,ke.si.nam.bung.an,kə.si.nam.buŋ.an,manual
12193,kesip,kəsip,ke.sip,kə.sip,manual
12194,kesiur,kəsiur,ke.si.ur,kə.si.ur,manual
12195,kes,kes,ke.s,ke.s,LLM
12196,kes,kəs,ke.s,kə.s,LLM
12197,keskul,kəskul,kes.kul,kəs.kul,manual
12198,kesohor,kəsohor,ke.so.hor,kə.so.hor,manual
12199,kesombongan,kəsomboŋan,ke.som.bong.an,kə.som.boŋ.an,manual
12200,kesomplok,kəsomploʔ,ke.som.plok,kə.som.ploʔ,manual
12201,kesopanan,kəsopanan,ke.so.pa.nan,kə.so.pa.nan,LLM
12202,kesot,kesot,ke.sot,ke.sot,manual
12203,kesrakat,kəsrakat,kes.ra.kat,kəs.ra.kat,manual
12204,kestabilan,kəstabilan,ke.sta.bil.an,kə.sta.bil.an,manual
12205,kesting,kestiŋ,kes.ting,kes.tiŋ,manual
12206,kesturi,kəsturi,kes.tu.ri,kəs.tu.ri,manual
12207,kesuburan,kəsuburan,ke.su.bur.an,kə.su.bur.an,manual
12208,kesucian,kəsutʃian,ke.su.ci.an,kə.su.tʃ.ian,manual
12209,kesudahan,kəsudahan,ke.su.dah.an,kə.su.dah.an,manual
12210,kesudahannya,kəsudahanɲa,ke.su.da.han.nya,kə.su.da.han.ɲa,LLM
12211,kesukaan,kəsukaʔan,ke.su.ka.an,kə.su.ka.ʔan,manual
12212,kesukaran,kəsukaran,ke.su.ka.ran,kə.su.ka.ran,LLM
12213,kesu,kəsu,ke.su,kə.su,LLM
12214,kesukuan,kəsukuan,ke.su.ku.an,kə.su.ku.an,manual
12215,kesulitan,kəsulitan,ke.su.li.tan,kə.su.li.tan,LLM
12216,kesultanan,kəsultanan,ke.sul.tan.an,kə.sul.tan.an,manual
12217,kesuma,kəsuma,ke.su.ma,kə.su.ma,manual
12218,kesumat,kəsumat,ke.su.mat,kə.su.mat,LLM
12219,kesumba,kəsumba,ke.sum.ba,kə.sum.ba,manual
12220,kesungguhan,kəsuŋguhan,ke.sung.guh.an,kə.suŋ.guh.an,manual
12221,kesuntukan,kəsuntukan,ke.sun.tuk.an,kə.sun.tuk.an,manual
12222,kesunyian,kəsuɲian,ke.su.nyi.an,kə.su.ɲia.n,manual
12223,kesup,kəsup,ke.sup,kə.sup,manual
12224,kesurupan,kəsurupan,ke.su.rup.an,kə.su.rup.an,manual
12225,kesusahan,kəsusahan,ke.su.sa.han,kə.su.sa.han,LLM
12226,kesusasteraan,kəsusastəraʔan,ke.su.sa.te.ra.an,kə.su.sa.st.ər.aʔan,LLM
12227,kesusilaan,kəsusilaʔan,ke.su.si.la.an,kə.su.si.la.ʔan,manual
12228,kesusu,kəsusu,ke.su.su,kə.su.su,manual
12229,kesut,kesut,ke.sut,ke.sut,manual
12230,kesut,kəsut,ke.sut,kə.sut,manual
12231,kesyukuran,kəsjukuran,ke.syuk.ur.an,kə.sjuk.ur.an,LLM
12232,ketaatan,kətaʔatan,ke.ta.at.an,kə.ta.ʔa.tan,manual
12233,ketabahan,kətabahan,ke.ta.bah.an,kə.ta.bah.an,manual
12234,ketaban,kətaban,ke.ta.ban,kə.ta.ban,manual
12235,ketagihan,kətagihan,ke.ta.gih.an,kə.ta.gih.an,LLM
12236,ketagih,kətagih,ke.ta.gih,kə.ta.gih,LLM
12237,ketahanan,kətahanan,ke.ta.han.an,kə.ta.han.an,manual
12238,ketahiran,kətahiran,ke.ta.hir.an,kə.ta.hir.an,manual
12239,ketahuan,kətahuan,ke.ta.hu.an,kə.ta.hu.an,manual
12240,ketahui,kətahui,ke.ta.hu.i,kə.ta.hu.i,LLM
12241,ketai,kətai,ke.tai,kə.tai,manual
12242,ketajaman,kətadʒaman,ke.ta.ja.man,kə.ta.dʒ.aman,LLM
12243,keta,keta,ke.ta,ke.ta,manual
12244,keta,kəta,ke.ta,kə.ta,manual
12245,ketak,kətaʔ,ke.tak,kə.taʔ,manual
12246,ketakong,kətakoŋ,ke.ta.kong,kə.ta.koŋ,manual
12247,ketakutan,kətakutan,ke.ta.ku.tan,kə.ta.ku.tan,LLM
12248,ketakwaan,kətaʔwaʔan,ke.tak.wa.an,kə.taʔ.wa.ʔan,manual
12249,ketamakan,kətamakan,ke.ta.mak.an,kə.ta.mak.an,manual
12250,ketambak,kətambaʔ,ke.tam.bak,kə.tam.baʔ,manual
12251,ketam,kətam,ke.tam,kə.tam,manual
12252,ketampi,kətampi,ke.tam.pi,kə.tam.pi,manual
12253,ketandusan,kətandusan,ke.tan.du.san,kə.tan.du.san,LLM
12254,ketangkasan,kətaŋkasan,ke.tang.kas.an,kə.taŋ.kas.an,manual
12255,ketang,kətaŋ,ke.tang,kə.taŋ,manual
12256,ketan,kətan,ke.tan,kə.tan,manual
12257,ketapak,kətapaʔ,ke.ta.pak,kə.ta.paʔ,manual
12258,ketapang,kətapaŋ,ke.ta.pang,kə.ta.paŋ,manual
12259,ketapek,kətapeʔ,ke.ta.pek,kə.ta.peʔ,manual
12260,ketap,kətap,ke.tap,kə.tap,manual
12261,ketara,kətara,ke.ta.ra,kə.ta.ra,LLM
12262,ketarap,kətarap,ke.ta.rap,kə.ta.rap,manual
12263,ketar,kətar,ke.tar,kə.tar,manual
12264,ketat,kətat,ke.tat,kə.tat,manual
12265,ketaton,kətaton,ke.ta.ton,kə.ta.ton,manual
12266,ketawa,kətawa,ke.ta.wa,kə.ta.wa,manual
12267,ketaya,kətaja,ke.ta.ya,kə.ta.ja,manual
12268,ketayap,kətajap,ke.ta.yap,kə.ta.jap,manual
12269,ketebalan,kətəbalan,ke.te.bal.an,kə.tə.bal.an,manual
12270,keteduhan,kətəduhan,ke.te.duh.an,kə.tə.duh.an,manual
12271,ketegakan,kətəgakan,ke.te.gak.an,kə.tə.gak.an,manual
12272,ketegangan,kətəgaŋan,ke.te.gan.gan,kə.tə.gaŋan,LLM
12273,ketegapan,kətəgapan,ke.te.gap.an,kə.tə.gap.an,manual
12274,ketegaran,kətəgaran,ke.te.gar.an,kə.tə.gar.an,manual
12275,ketegar,kətəgar,ke.te.gar,kə.tə.gar,manual
12276,ketegasan,kətəgasan,ke.te.gas.an,kə.tə.gas.an,manual
12277,keteguhan,kətəguhan,ke.te.guh.an,kə.tə.guh.an,manual
12278,ketegukan,kətəgukan,ke.te.guk.an,kə.tə.guk.an,manual
12279,keteguran,kətəguran,ke.te.gur.an,kə.tə.gur.an,manual
12280,ketek,keteʔ,ke.tek,ke.teʔ,manual
12281,ketek,kəteʔ,ke.tek,kə.teʔ,manual
12282,ketekoran,kətəkoran,ke.te.ko.ran,kə.tə.ko.ran,LLM
12283,ketekunan,kətəkunan,ke.te.kun.an,kə.tə.kun.an,manual
12284,keteladanan,kətəladanan,ke.te.la.dan.an,kə.tə.la.dan.an,manual
12285,ketela,kətela,ke.te.la,kə.te.la,manual
12286,ketela,kətəla,ke.te.la,kə.tə.la,manual
12287,ketelanjangan,kətəlandʒaŋan,ke.te.lan.jang.an,kə.tə.lan.dʒaŋan,manual
12288,ketelanjuran,kətəlandʒuran,ke.te.lan.jur.an,kə.tə.lan.dʒu.ran,manual
12289,keteledoran,kətəledoran,ke.te.le.dor.an,kə.tə.le.dor.an,manual
12290,ketelitian,kətəlitian,ke.te.li.ti.an,kə.tə.li.ti.an,manual
12291,ketel,ketel,ke.tel,ke.tel,manual
12292,ketel,kətel,ke.tel,kə.tel,manual
12293,ketel,ketəl,ke.tel,ke.təl,manual
12294,ketel,kətəl,ke.tel,kə.təl,manual
12295,keteloran,kəteloran,ke.te.lo.ran,kə.te.lo.ran,LLM
12296,ketempatan,kətəmpatan,ke.tem.pat.an,kə.təm.pat.an,manual
12297,ketempuhan,kətəmpuhan,ke.tem.puh.an,kə.təm.puh.an,manual
12298,ketemu,kətəmu,ke.te.mu,kə.tə.mu,manual
12299,ketenagaan,kətənagaʔan,ke.te.na.ga.an,kə.tə.na.ga.ʔan,manual
12300,ketenagakerjaan,kətənagakərdʒaʔan,ke.te.na.ga.ker.ja.an,kə.tə.na.ga.kər.dʒ.aʔan,manual
12301,ketenaga-nukliran,kətənaganuʔliran,ke.te.na.ga.nu.kli.ran,kə.tə.na.ga.nu.ʔli.ran,LLM
12302,ketena,kətəna,ke.te.na,kə.tə.na,manual
12303,ketenangan,kətənaŋan,ke.te.nang.an,kə.tə.naŋ.an,manual
12304,ketenaran,kətenaran,ke.te.nar.an,kə.te.nar.an,manual
12305,ketengan,keteŋan,ke.teng.an,ke.teŋ.an,manual
12306,keteng,keteŋ,ke.teng,ke.teŋ,manual
12307,ketentaraan,kətəntaraʔan,ke.ten.ta.ra.an,kə.tən.ta.ra.ʔan,manual
12308,ketenteraman,kətəntəraman,ke.ten.te.ram.an,kə.tən.tə.ram.an,manual
12309,ketentuan,kətəntuan,ke.ten.tu.an,kə.tən.tu.an,manual
12310,ketepatan,kətəpatan,ke.te.pat.an,kə.tə.pat.an,manual
12311,ketepel,kətəpel,ke.te.pel,kə.tə.pel,manual
12312,ketepeng,kətepeŋ,ke.te.peng,kə.te.peŋ,manual
12313,keterampilan,kətərampilan,ke.te.ram.pil.an,kə.tə.ram.pil.an,manual
12314,keterandalan,kətərandalan,ke.ter.an.dal.an,kə.tər.an.dal.an,manual
12315,keterangan,kətəraŋan,ke.te.ra.han,kə.tə.ra.ŋan,LLM
12316,keterangannya,kətəraŋanɲa,ke.ter.an.gan.nya,kə.tər.aŋan.ɲa,LLM
12317,keterarahan,kətərarahan,ke.ter.a.rah.an,kə.tər.a.rah.an,manual
12318,keteraturan,kətəraturan,ke.ter.a.tur.an,kə.tər.a.tur.an,manual
12319,keterbacaan,kətərbatʃaʔan,ke.ter.ba.ca.an,kə.tər.ba.tʃ.aʔan,manual
12320,keterbatasan,kətərbatasan,ke.ter.ba.tas.an,kə.tər.ba.tas.an,manual
12321,keterbelakangan,kətərbəlakaŋan,ke.ter.be.la.kang.an,kə.tər.bə.la.kaŋ.an,manual
12322,keterdamparan,kətərdamparan,ke.ter.dam.par.an,kə.tər.dam.par.an,manual
12323,ketergantungan,kətərgantuŋan,ke.ter.gan.tung.an,kə.tər.gan.tuŋ.an,manual
12324,keterjunan,kətərdʒunan,ke.ter.jun.an,kə.tər.dʒu.nan,manual
12325,keterkaitan,kətərkaitan,ke.ter.ka.it.an,kə.tər.ka.it.an,manual
12326,keter,kətər,ke.ter,kə.tər,LLM
12327,keterlaluan,kətərlaluan,ke.ter.la.lu.an,kə.tər.la.lu.an,manual
12328,keterlambatan,kətərlambatan,ke.ter.lam.bat.an,kə.tər.lam.bat.an,manual
12329,keterlibatan,kətərlibatan,ke.ter.li.bat.an,kə.tər.li.bat.an,manual
12330,keterpelajaran,kətərpəladʒaran,ke.ter.pel.a.jar.an,kə.tər.pəl.a.dʒa.ran,manual
12331,keterpencilan,kətərpəntʃilan,ke.ter.pen.cil.an,kə.tər.pən.tʃi.lan,manual
12332,ketersediaan,kətərsədiaʔan,ke.ter.se.di.a.an,kə.tər.sə.di.a.ʔan,manual
12333,ketertarikan,kətərtarikan,ke.ter.ta.rik.an,kə.tər.ta.rik.an,manual
12334,ketertiban,kətərtiban,ke.ter.tib.an,kə.tər.tib.an,manual
12335,keterusan,kətərusan,ke.te.rus.an,kə.tə.rus.an,manual
12336,ketes,kətes,ke.tes,kə.tes,manual
12337,ketetapan,kətətapan,ke.te.tap.an,kə.tə.tap.an,manual
12338,keteteran,kəteteran,ke.te.ter.an,kə.te.ter.an,manual
12339,keteter,kəteter,ke.te.ter,kə.te.ter,manual
12340,ketewasan,kətewasan,ke.te.was.an,kə.te.was.an,manual
12341,ketiadaan,kətiadaʔan,ke.ti.a.da.an,kə.ti.a.da.ʔan,manual
12342,ketiak,kətiaʔ,ke.ti.ak,kə.ti.aʔ,manual
12343,ketial,kətial,ke.ti.al,kə.ti.al,manual
