20363,pencebakan,pəntʃəbakan,pen.ce.bak.an,pən.tʃə.bak.an
20364,pencebak,pəntʃəbaʔ,pen.ce.bak,pən.tʃə.baʔ
20365,pencecak,pəntʃətʃaʔ,pen.ce.cak,pən.tʃə.tʃaʔ
20366,pencederaan,pəntʃədəraʔan,pen.ce.de.ra.an,pən.tʃə.də.ra.ʔan
20367,pencedok,pəntʃedoʔ,pen.ce.dok,pən.tʃe.doʔ
20368,pencegahan,pəntʃəgahan,pen.ce.gah.an,pən.tʃə.gah.an
20369,pencegah,pəntʃəgah,pen.ce.gah,pən.tʃə.gah
20370,pencegatan,pəntʃəgatan,pen.ce.gat.an,pən.tʃə.gat.an
20371,pencekalan,pəntʃəkalan,pen.ce.kal.an,pən.tʃə.kal.an
20372,pencekik,pəntʃəkiʔ,pen.ce.kik,pən.tʃə.kiʔ
20373,pencelaan,pəntʃəlaʔan,pen.ce.la.an,pən.tʃə.la.ʔan
20374,pencela,pəntʃəla,pen.ce.la,pən.tʃə.la
20375,pencelupan,pəntʃəlupan,pen.ce.lup.an,pən.tʃə.lup.an
20376,pencelup,pəntʃəlup,pen.ce.lup,pən.tʃə.lup
20377,penceluran,pəntʃəluran,pen.ce.lur.an,pən.tʃə.lur.an
20378,pencemaran,pəntʃəmaran,pen.ce.mar.an,pən.tʃə.mar.an
20379,pencemar,pəntʃəmar,pen.ce.mar,pən.tʃə.mar
20380,pencemas,pəntʃəmas,pen.ce.mas,pən.tʃə.mas
20381,pencemburu,pəntʃəmburu,pen.cem.bu.ru,pən.tʃəm.bu.ru
20382,pencendekiaan,pəntʃəndəkiaʔan,pen.cen.de.ki.a.an,pən.tʃən.də.ki.a.ʔan
20383,pencepatan,pəntʃəpatan,pen.ce.pat.an,pən.tʃə.pat.an
20384,penceracau,pəntʃəratʃau,pen.ce.ra.cau,pən.tʃə.ra.tʃau
20385,pencerahan,pəntʃərahan,pen.ce.rah.an,pən.tʃə.rah.an
20386,penceraian,pəntʃəraian,pen.ce.rai.an,pən.tʃə.rai.an
20387,penceramah,pəntʃəramah,pen.ce.ra.mah,pən.tʃə.ra.mah
20388,pencerapan,pəntʃərapan,pen.ce.rap.an,pən.tʃə.rap.an
20389,pencerdasan,pəntʃərdasan,pen.cer.das.an,pən.tʃər.das.an
20390,penceriaan,pəntʃəriaʔan,pen.ce.ri.a.an,pən.tʃə.ri.a.ʔan
20391,penceritaan,pəntʃəritaʔan,pen.ce.ri.ta.an,pən.tʃə.ri.ta.ʔan
20392,pencerita,pəntʃərita,pen.ce.ri.ta,pən.tʃə.ri.ta
20393,pencernaan,pəntʃərnaʔan,pen.cer.na.an,pən.tʃər.na.ʔan
20394,pencetakan,pəntʃetakan,pen.ce.tak.an,pən.tʃe.tak.an
20395,pencetak,pəntʃetaʔ,pen.ce.tak,pən.tʃe.taʔ
20396,pencet,pəntʃet,pen.cet,pən.tʃet
20397,pencetus,pəntʃətus,pen.ce.tus,pən.tʃə.tus
20398,pencicilan,pəntʃitʃilan,pen.ci.cil.an,pən.tʃi.tʃil.an
20399,pencilok,pəntʃiloʔ,pen.ci.lok,pən.tʃi.loʔ
20400,pencil,pəntʃil,pen.cil,pən.tʃil
20401,pencinta,pəntʃinta,pen.cin.ta,pən.tʃin.ta
